mod_id,author_id
1940384098,14852
2797983642,12453
1253106428,19382
2821538312,6257
2733529400,6428
1224190841,1103
861534291,9198
902291082,15382
1643754462,6799
2010653388,20071
1313305308,15582
1892885081,5243
2313389899,19554
2393935311,15494
790828056,12967
1896744481,15393
2237796725,6044
1562031743,10826
2873953812,18983
2729230144,6634
2639233606,10512
1172996283,15912
1819124839,17856
2548246640,13375
2823356224,6536
2730030063,20573
1788900692,15680
1290573592,6307
2866715288,10024
2146354283,2618
1660273793,2520
1391445265,2994
2623535377,5595
1703863328,11886
2182977665,10707
2404006219,18739
1790121426,5127
2795600287,19524
1967856041,20391
1982719410,12299
2432591237,17304
2833482117,4653
1761577507,18570
2869485765,11515
1549593740,708
746727953,1889
1873752791,2223
2681239802,5214
2502909902,12469
1314790954,18245
2381439640,9300
1930351335,2183
937691073,4509
2546899950,19110
1536210569,3452
1357804978,2020
927549173,16111
2779320887,20316
2779320887,20843
2779320887,20353
2779320887,6529
1830461010,8478
1903932531,18029
2699224506,15734
2836840376,6121
1863816159,5091
959565013,8789
2727350314,1278
2470954395,3896
2862488610,496
2724925562,19740
2429666971,4494
2429666971,6267
2429666971,17611
2429666971,8405
1165947511,16314
775171225,20205
2859469897,11107
1910146904,17647
1923767882,20209
1797172795,7484
1172354296,16314
1713915620,1730
1822913575,11841
1418058219,1248
1610956409,11684
2400632164,9467
1752837925,17270
1204955863,15452
918867938,18879
1676234435,20441
765167564,18604
1620157440,13781
2804432388,1797
2881998041,13134
2758884313,11160
1415454578,11486
1287194823,13564
2309561887,21019
1668576560,1747
1123856077,14456
1772811273,4953
1633768037,11486
1169053304,14304
1170535163,5931
1873975207,15574
1656664041,11941
2805019475,9005
2820055240,20306
2063269287,15804
1675030516,3834
2434711440,13082
2397694971,13261
1174550185,11512
2460209898,7641
718705827,20716
1704145533,17561
1844617210,14870
2510318700,385
2063968426,8532
2178584031,15496
1870778088,4260
1876327916,14876
2116469846,20593
698665197,19226
698665197,1469
1678925410,1152
1415297430,10585
2779500814,16118
2356799636,12430
1214407930,11713
2877683188,8836
1504307421,9292
2070681372,12671
1625521305,3368
2873582090,551
1347050866,17439
1591666445,12109
2867066880,8756
1678941234,1152
2152809561,17149
2237515435,4831
1268365266,2455
1134751589,4749
2828405769,1639
2845024984,7602
2842866674,18973
1403910317,6407
1621625628,10614
1454207476,19328
1113680609,10665
1573059945,13812
2606993054,4031
972446970,2188
2767963526,8160
2539138744,18505
1211091710,5217
1625787159,1375
2689093035,9598
932675656,6751
1381039503,1427
2846754792,9461
1365916059,15161
2150424473,12141
2150424473,2722
2803796055,7950
2442773996,3712
2836062357,12921
1840585775,1214
2041934653,6713
1281659580,2027
1727637282,19422
2010960949,9946
2542779339,16854
2865148025,6667
2088209985,7648
1799740642,2269
2827340948,7740
2875285694,19349
903838591,685
2879421065,9558
2056031140,4647
1557892229,9861
1969701577,10664
1411209488,15415
1533160035,4286
1533160035,2390
1533160035,20383
1533160035,2198
1533160035,4011
1533160035,20817
1533160035,20350
1533160035,20319
934777717,4141
934777717,5852
2767849499,2622
2871518651,21120
1405547243,4870
1780008641,4342
1654105347,12506
961441911,21109
2111102758,13169
2131699444,775
953349484,4650
953349484,7376
2781074866,10713
2781074866,7849
2781074866,8832
2013096765,14960
2875505873,3132
1846724347,18443
1671003693,18859
1270997596,19126
740408327,14963
1352697144,12803
1195065560,20542
2493099341,16179
1776235123,14529
1420988058,17541
1211314797,18361
1493839484,11710
1117756181,7527
2007004546,1431
2723239759,921
2723239759,13453
2723239759,10526
2836138293,13101
2227114603,3908
2227114603,13895
1706150339,8755
2764345794,5482
2651675825,5136
2085774555,12143
2818428462,5421
909913759,10987
1245219157,6177
2594114149,715
2406011360,20988
1853948074,9192
1882179931,10902
2280867307,8617
2840245917,12437
1825829502,18054
2764862473,15519
2851857744,20434
1738549173,18831
2845779581,4609
1336993436,5217
1153635508,15725
721665801,16300
721665801,18947
2710486277,1226
1196722722,13735
2206500439,12306
2106608205,11642
1449547950,13332
1342450180,20829
2319269074,18867
1565314933,786
2155235234,11773
2367038307,7403
766357772,4553
2820373857,1845
2666797657,4205
1439915902,10651
2789641644,2723
1706000416,9477
2162588584,18966
2044832004,10005
2804741003,15306
1743885224,20784
2198218432,2986
2198218432,13487
1089354766,15883
733029457,12290
2876130216,929
1388738166,3961
2743551545,162
1702227198,18228
717107186,20665
2665651339,10699
1607544125,15916
1607544125,18675
1607544125,9075
701502394,17861
1941590756,8420
2847808536,7774
2657031570,18638
2062860439,18013
2307324464,4312
2307324464,12346
1514965294,12410
2852208799,13839
1170179705,22
1896592387,8578
1332377508,15620
2507296377,10683
2877854104,10874
889593941,9071
2871795165,18822
1304116702,1322
2397936362,213
2451823891,6576
2334766250,6267
707315091,5422
2424731791,6492
2272262869,8336
2703838365,16912
2466585196,17182
705639541,16837
854366358,2773
1373365952,9961
2509935097,3124
1725465968,2421
1493964632,135
1698771568,3137
1433322101,18183
2499531198,6246
1446848253,20430
1756011959,19587
1756011959,6206
1366958264,14143
1366958264,13286
1206093927,2573
2869191369,4607
744040500,17068
1573959524,18334
1573959524,6596
1348911706,2895
1595878761,17494
1491398972,20317
1140609098,3904
2762223304,2176
2780684765,20843
2730375664,2127
2398106925,1399
2170619201,10743
2609937532,7298
906765222,19354
770368186,16735
2807530428,15304
2576322546,9826
2786622443,13198
2823480248,7426
1469904925,12888
2029361950,134
764182690,5637
2097752551,620
735956818,3584
1358966888,20829
1358966888,20274
2086122027,8512
2470616885,18306
2230118492,7785
2531889993,14809
2579709281,6621
2539917922,16240
727708052,1350
2508846536,12568
2458325063,10758
1402880414,12800
742542814,12228
2579370150,4949
2245051934,6443
2342647447,7616
1516286545,18577
960069237,10943
2733689978,17152
940721136,2311
719516939,11018
1819905283,221
1730953881,12787
1424859871,2886
2785548879,5824
1574304566,11227
1695785430,4111
2328817559,12992
1344887279,10103
1645719392,20202
2842934190,17385
890525954,10399
2689165838,21035
1895116829,18565
2877877162,11207
1868219574,1905
1584421474,30
2287438921,1775
940109496,11826
1128136662,12981
1433964058,8471
1729484168,5202
2873005381,4222
880399693,8067
2704974472,10192
1622011998,4695
1085273264,3154
1595677951,7206
2474638540,7681
2829931017,20598
1526625805,6015
2712980767,136
2712980767,12038
2712980767,872
1557197427,9801
2464057357,11192
1536265751,8383
2791061264,13825
2661350936,20095
2470221945,16734
1309854914,3499
2664629404,8155
860842206,2531
1344267442,9904
1295689837,18272
1265187006,941
2264494250,6481
2264494250,8126
2264494250,8942
2264494250,4003
2264494250,13194
2264494250,21041
1225440247,13904
872860704,54
1819698144,14778
1737544627,2795
2707263941,17775
1477844006,12882
1253045968,7213
2835984185,2886
754588160,4902
2634662327,20538
1146780769,17115
1367984845,10136
2852474773,14254
1839616107,16718
1116111389,8789
2540179377,1586
2783541097,17761
2645637733,7648
2477951621,15940
2361202711,7628
2668347820,14017
1428324932,20974
2385595100,12512
715094067,13459
2071209578,13818
2845615737,1218
1348822552,5958
2619165593,13166
906721406,13232
906721406,3200
1818670754,18644
2183129493,4757
1983867664,13290
1848106114,19254
2820963423,4401
1274047493,304
1090056747,13797
931570411,9675
1639817372,1375
1542011134,6538
2305614541,8291
1148080870,3511
1386195548,14792
2749119072,20934
2431840307,3561
1107120443,6495
2429099254,8625
2217933398,20356
1741574417,19422
1245556064,5838
1586179481,9876
1289010440,2068
2593012137,11478
2849512223,11235
2754825370,13282
1367731522,8210
1811813270,12311
1703771469,13327
2666375814,8219
1759436219,1143
2868632173,12527
2870626766,9793
2670304156,19023
2105044243,5471
1500856891,812
2728580550,1451
1825235220,7061
2458923129,13687
2742220116,10867
2753236087,5999
1670730805,12014
2789512303,11419
1786426142,17280
1870621458,13167
1881498887,4537
1725295913,6883
2718228719,15214
1570426941,9527
1534367664,13423
1534367664,16164
2867919970,735
2806839525,7854
1873666988,19653
2809691778,1560
873481151,19315
2850613262,19633
1690124621,4821
702510900,21048
2293269194,7932
2689050561,1229
1853612113,1575
1702553113,9766
1563223694,10493
1162089144,16896
1636005363,7248
763975716,15839
1810558255,11902
2839337348,2245
902175903,1034
2411207495,909
2824286248,7107
2769400824,19908
2776595656,6283
1829653338,9674
1829653338,17387
899411587,16084
1611170645,3281
1803457581,14924
2293953216,7980
2805653165,1451
2494017651,12101
2494017651,8625
1150005844,16401
1411647729,7039
1611192902,3079
1611192902,3238
1681056400,6779
1843598004,6122
2877821668,11566
2126600363,6663
723287287,8305
906781079,14676
1548846634,4462
1468319433,8017
2838650665,1424
2029292272,527
1196937887,20609
842086404,11050
890894256,10105
2453634171,2390
1484048918,13846
1325631272,11607
2870013506,13616
2790485697,8160
2558694144,19943
2582909102,18983
2517118215,14051
2192147241,4399
1401399105,11631
1907452832,8417
2041193954,18513
1468870615,12783
1645541754,14848
1080001951,19754
704848757,7468
1193062333,19215
1787371884,2227
1850155938,12361
2824141530,5598
1803868998,949
1245469686,9559
2708928242,14235
1310697971,16528
2260583766,11428
2501546323,571
2501546323,14409
1343190895,9516
2672206333,7616
1336577662,20787
2514306816,15324
1765165814,19833
1319340627,16608
771744389,19400
2696906236,16669
1335003666,20802
1901372111,605
2436302174,7139
1115749964,8009
1093168254,529
1125074523,14246
916578754,6983
2861477394,18981
2433856134,9467
1514964634,12410
2587052674,2566
1569904345,8051
1497290174,19884
1773066049,14516
1258626033,20293
704744419,11444
2299278695,14459
2402353518,10588
2870313981,7730
2684089397,7560
1686670280,15575
1800251148,7498
1519935319,10316
1695902646,1722
2264153134,3849
2835619639,7750
2405357210,6929
1765251039,3717
2565736552,8678
2565736552,15936
2294960813,21045
1456602461,11056
2677923698,3418
2677923698,19437
1306733980,14241
2872635657,18983
2842087915,17899
1437903292,2475
2652484495,16161
2818133616,3058
1143020663,15602
1176101613,5998
1180924465,2785
1429281861,10970
1773689664,886
1580405844,16091
2482337746,434
2853489368,1095
2733953578,4615
1333968453,7954
2455292401,3359
760812488,19202
1232919442,10578
1704332750,7021
925844756,16111
1341189124,11519
2625049473,6536
2832464511,19588
2097903700,5845
2615358646,14064
2615358646,8866
2475388075,17988
788505633,5058
2053748176,8574
2571838596,17316
1900370048,15315
1505689115,8798
2875522575,12846
757832924,1951
792701711,20994
2881427139,14672
1892403532,3923
2186503843,16414
1325261305,7329
871975864,21109
1542260442,18871
1583229683,2246
2813767339,1719
2519340710,19322
2663175941,2092
1927550710,1924
2648800852,3799
1423591786,19401
2282289892,1481
1358786883,10307
2803162247,19235
2803162247,6943
1991365787,11632
706760436,711
2231696953,1170
901609207,10740
2060340880,2057
1508661463,1909
1784381595,2757
1266595273,6396
1855594703,19663
2299786328,6267
2727699125,55
2119431592,620
2698132636,455
2841800878,11457
698841321,17378
1734188657,7513
1734188657,4625
1734188657,8180
2351690890,9951
1501493501,13924
733969952,18609
952271112,20578
1466547622,3629
702263507,10847
1817063896,18774
1496792997,13130
906699224,19376
2451502644,1086
1550319895,15177
2492688265,20369
921448020,6724
832721263,11507
2825429720,1490
1260441597,14900
2211098866,8337
2444914414,3827
2767102754,13596
1702410488,10050
2258490095,6070
1232084959,13625
802945165,11898
2765066438,20407
1286742797,5354
787742703,21120
904504264,12802
2134017713,1455
1547587635,20745
2287434524,1481
869119078,17677
1705019007,16243
1687402539,17050
1583849324,6091
1868140714,10882
1665137601,18443
1981174776,14407
1981174776,4477
703490859,7126
756600711,3491
1582445599,11750
1226078310,18305
2448071867,10068
2706191364,18935
1840658009,5578
2618338781,20966
2255432959,13262
2255432959,5870
1727770674,19207
1431876550,18355
1431876550,13251
1431876550,6338
1431876550,2963
1339488279,19170
948170988,20982
1349445800,20140
2320596769,19910
2793699529,18051
1422125872,15865
1422125872,12785
1698286665,6760
1856489718,9998
1415382050,10585
1298572092,9173
949772462,6408
749204838,7331
2039071245,9678
1239237796,10913
1267983193,19759
1340926658,17593
1695908623,10811
1695908623,11604
2826977113,13980
915989691,5202
2514416575,4205
1426235906,13015
1697798530,5331
2304960956,923
1229158043,1624
2447982606,19841
771217455,13200
1294110424,12477
1354024010,2068
1487139695,12514
1662321427,19806
2021289268,6237
1300425926,12010
2380530505,14693
1755886435,15973
2200078082,14231
2200078082,8345
2608211516,13182
1502371036,6607
2180903255,3652
2180903255,14060
1999696027,3634
752177266,5727
2294838324,13194
1258001423,19382
1587502287,19662
2481728716,1445
1331893549,9636
1370888924,7670
2803906714,20011
1507176246,5448
2844461339,333
2857463653,7573
1144826342,11493
2343893258,17472
2343893258,8823
1363238492,3201
2773550984,20915
2257929172,17918
2019355021,5731
1764785021,6247
2329657810,13589
2685434948,5991
829039958,5708
2815312078,5816
1243900850,14582
1390008535,4875
1907998969,13287
894720880,7587
894720880,1422
1343711679,9140
1566553234,11620
1870588638,5081
2798520259,16901
2813331438,14796
1869986939,7655
1447930153,11482
881904866,20533
2808442705,4669
2025730575,12937
2592729928,7324
2592729928,11478
2592729928,20939
2592729928,8934
2592729928,20797
2592729928,6749
2592729928,2917
2592729928,5881
854871501,18916
2818042981,5653
2869071023,12876
2863794271,9172
2451596110,10470
1163323010,4832
1140851383,789
2781903168,21052
2243770845,4710
1326589803,6514
2856678675,2406
1516575822,4817
1302845863,16623
2686611729,20958
2466003483,11632
2038360541,10709
2038360541,9662
2721504597,9111
1368220113,14953
1804487443,13336
1804487443,12080
1516222816,18766
1900217615,15997
2882540457,3414
2727690606,20998
1590674292,18326
1489435360,10114
2685861791,7883
848051200,9107
2515574784,17079
1094083790,5622
1191909991,16827
2823028636,21057
2874541734,667
2874541734,10066
1327362211,20108
1392806815,13446
2620788162,213
2857141714,818
2675063324,20275
1670778299,18932
1554907047,3185
1697340941,9425
1568560291,1671
2811248872,20789
2811248872,3714
1120062230,16887
804747510,2382
1711526710,17121
2461106114,2257
2791503677,3408
1622683706,15373
1460043604,3302
2495783406,423
841302826,553
2660986859,18254
1495813754,19556
1690916164,52
1690916164,17592
1673145397,3259
823468536,6157
1426804347,15259
755457970,14452
2019333466,19375
1839509274,15839
1684878889,19923
1818061596,460
2813492365,7854
2068064917,7052
2787670095,5844
2597787610,21051
2869442276,11515
860991651,14585
1392428839,95
2847909776,2173
1823049660,19972
2672141810,665
1955656508,6583
1955656508,14643
2734188801,11039
2389873585,8565
1555454154,9801
1380912666,9231
2662792059,15594
1636663196,10971
2830344259,109
1545793827,12835
1204698131,9849
2064824700,14502
2064824700,16803
2064824700,1171
1996884887,7648
2871410208,3445
2391471248,20141
965092718,1421
881905075,20533
1438594682,9347
2776640490,13869
784478455,1852
1683234894,21001
839838997,16327
1760718523,1140
2795765634,18051
2559388186,20596
788374355,8977
1334386389,19950
1447542677,14657
2053636720,15688
948073304,12743
1499165247,7333
2464269770,7762
1249908293,4152
721744934,3284
2180209293,327
919890967,7767
883492272,17269
1134885255,18499
951256204,12556
2604648588,1187
2442399554,11134
1988993486,20655
1988993486,20824
2833608642,20839
1443107803,10128
2614885648,15166
2259040684,7005
1446619852,14921
707684957,14137
2849393689,17611
2859281180,6996
1260960911,7558
2648300480,17006
1587412203,3151
2612521149,13666
2868635792,2057
2779794414,2853
2720921900,20228
1390475977,1161
2293258263,10105
2848358761,20663
2522087518,19621
1171811890,14182
1115528454,13141
2850196082,10209
2403428985,5033
2364036365,10544
2364036365,18095
1488729019,3157
2871036487,2057
1304933526,1844
1337799929,17770
1754448015,14967
2014636418,9289
2471691960,16803
2471691960,1171
835635867,698
2816252338,19283
2345908762,15198
2866992973,16772
2512727347,19011
2830225247,14717
2785388766,20564
1664526168,19556
2492378276,1483
2486770487,5734
2486770487,7935
2786131089,2668
2852273034,16132
1846693955,3285
2260704403,17079
2231217232,15323
1841255451,2757
844517477,7694
2502957018,16635
2873509609,9559
1910100103,18193
2794469914,12012
1805553600,4150
1707369555,10107
2662010465,3266
1681819137,10771
2832125496,11817
2262374316,16112
935079788,9083
921778437,729
2336396484,9482
1277432565,2300
1122152514,5145
825552373,14478
1631092048,8789
1875800995,2172
2571383855,8189
1082010047,7669
1909071915,18193
2580571491,4542
2504948623,15172
1555721980,15526
2125165899,10029
2629479027,13940
2629479027,881
2859005395,17326
2878331159,11799
2511526451,6968
1228672584,14152
759900237,14371
1440399445,2795
1686597058,1152
1984815126,6543
1382612385,19004
718525921,20450
1506849936,11466
1995982169,7285
1995982169,4664
1956424170,12391
1334302087,18245
1197481426,9072
1903943946,2974
2559072755,1451
1756277582,12617
1756277582,10932
1756277582,15257
1756277582,1014
2408119501,20253
885180174,12035
1669616336,15575
2644437997,14918
1918201776,11876
2843042106,14044
2602869290,17858
912204033,7096
2841246390,10691
1267578427,16823
2865075549,12943
2659188490,8293
2678486321,19632
1673179457,15856
2760260181,6341
2403218965,2
1429079323,18065
1383710756,12322
1799911772,19270
2877656942,21092
1692466780,11207
2318989846,18867
2157788708,10005
2277723030,9287
703124099,620
2877503565,18977
1276319587,20892
918048103,4766
827674471,9433
1709049100,9917
2819808324,5936
1084714387,14246
700723597,11977
1110988657,17119
1263578527,941
1676767694,10217
2688853669,1932
946786264,6514
2848721086,6022
2848721086,2216
2817483124,10026
2849401011,2173
1144652425,15788
1473884620,11556
2742158994,16681
2216904978,16920
1801208005,17497
2414786616,17316
2516569264,11615
1361242614,11227
1516728106,19346
2243230962,4257
2636269576,3343
1134375476,5124
884682544,10306
884682544,4307
1594710456,5566
2780783907,20694
1902421169,5331
1875964084,7816
715439581,15803
958449698,11607
1796063304,20521
1239859871,6185
2184473779,6592
1520874161,8932
1773564974,999
2508658146,874
1840588236,1214
1469407238,15710
2642271569,11986
2753024563,512
2073577836,18875
2073577836,3413
1359802651,20907
1765389769,15176
1776441983,19646
2299537464,1616
1280580882,17207
1311448417,7428
1491378994,8132
1344995306,17252
748188504,19491
1967157311,5793
2695643622,19574
2460105649,2257
2878326195,20492
1460119338,9449
738217113,4747
1204231959,2369
1893364707,16468
2263904011,4871
2058537249,4993
2756321052,8940
1303586938,7991
2481259123,3054
2787661615,1198
2787661615,12849
2787661615,6661
766755162,18402
2488537077,17077
1537624445,8213
861011814,14038
861011814,16435
1685078020,2995
1557318623,4276
1759985771,1762
1811503009,4779
911443891,10818
744960185,17133
2735661292,12647
1173552165,7819
2776382622,7676
928815994,14246
814891688,14440
1628465779,8478
1079237623,10665
2264611021,10720
1336492721,1670
2847283261,9563
2847283261,12069
2858706090,11967
2785705227,4577
2420873339,18460
2420873339,1972
2420873339,14174
2349337045,9990
1897383912,7611
2873091899,7852
763645407,14677
1832430718,7305
904617622,9249
2457868950,10297
1224181528,1103
1188508809,10928
1876597681,15735
2491807348,19750
1436448011,5147
2869835451,1702
1876173597,5138
1637206226,11554
1882919666,15342
1906779573,19207
2304945962,18601
2817477059,1528
2575958796,14403
2097212964,15235
700397443,12928
1573975558,16475
2850230894,7007
2442399800,11134
769498533,10133
1427879356,1885
1976965841,8363
1903807867,7152
1523752234,11562
1787457479,17558
2713578680,15742
2713578680,10102
2713578680,11944
2468997243,15496
2869145076,7632
1352053230,15499
1153933777,18172
2353189266,11103
2529294924,17020
1478747187,14735
1549509724,19196
2808258388,13035
864779067,3948
864779067,18327
1577827327,8198
2273411575,9707
2184187293,20560
2804653876,3931
2506309502,20336
1690910421,2246
2385426465,14121
1758776589,4853
2086621325,18336
908073359,19376
1674427977,19372
1670029470,4893
900394119,9499
2433104020,9594
2794605720,20843
1430019848,17092
1365569376,602
2803983602,19359
2704187957,8011
2704187957,14211
827824066,17680
2134354405,11748
1103967294,8641
1103967294,4549
2864240952,9352
2869044921,17261
844555539,14098
1648786859,15902
2524820370,18601
1446379492,11890
2854690843,9410
1867193973,4315
1333086522,5044
1356794456,18525
1893140462,14076
2796324190,2809
1686667162,15575
1777608106,7685
1333274775,4602
2774309053,16241
2121509086,20097
1770098964,8877
1337514588,6081
2349049913,8670
777136568,20054
2827065495,4618
1542349499,4196
2737987789,8214
1912668247,1898
2485458475,2537
2833076513,9754
2746885983,18983
1312467276,2792
1872000425,8546
1416299889,9062
2608220934,14039
2393943976,15494
2297208411,6665
2653927686,4594
1345030657,14289
2044035150,6319
2740007464,6626
2214091021,18815
2214091021,18950
2833308793,20016
1357047899,15878
703017015,4265
2133052276,13425
2679143642,8103
2679143642,2515
1224878520,9870
1731799901,1881
1245152434,12555
763747326,2204
2206626706,20655
2725221353,5150
1111551047,1672
1689119946,18228
2290876881,2729
1354627964,1844
932785784,8789
2370391464,7400
1908620914,12423
1264679784,10003
1430724900,9904
2262370844,9274
1987834228,18136
2796413309,6205
2612665381,19255
2810031211,17667
2781715543,4760
1179067137,15345
2778609985,2803
1346518694,2463
1501785964,10114
969379862,9605
1702209487,2172
1210513975,17060
2448242887,15428
2492940384,4376
1861028095,20628
2412997288,909
1423807292,14371
2314343894,12500
2314343894,4034
2678712670,1208
2678712670,7379
2678712670,6391
1350106608,20056
2855898261,17430
1790835525,19434
970335669,11615
1441556160,9906
2233705375,9223
1999413529,8548
718864319,14452
2400002050,18233
2400002050,14696
2276180785,12992
2007766627,3216
1203402952,11568
1185217512,4123
1686602617,5091
1748329042,9039
2610186480,9630
2756341355,18214
1700747937,16765
2879073347,12418
1832504416,9742
2845104078,11967
2025340439,11545
2412601366,9997
2827778108,9493
1139480296,11484
1873459135,3147
1550403938,3881
1385837061,6218
2708641941,12704
1144288596,9260
707774347,14440
2685879962,7901
2672682834,15784
703138267,11132
1131061750,8313
2507841785,9026
2687035445,10368
1089071064,3676
1345552442,20979
2362723518,8670
2599017131,17079
2308476433,4257
1712431315,3504
1712431315,10992
1319523239,2774
1713645408,19937
2073349715,2043
2569076455,21132
761024711,15168
2794878126,2935
2820896990,20538
2815543497,20200
1848118391,18658
1848118391,6272
2253781468,19826
2253781468,11665
2489480675,12306
1940744815,7157
2366629155,2488
823471824,6157
1812745400,3430
2502696368,1590
1397118059,2644
1376484189,8677
700385964,4445
1363517805,7019
702311389,16152
2010414906,5228
1888945507,15084
1721485179,5774
1721485179,9991
1266748488,16051
2802978501,13288
2802978501,2830
1389764031,9227
2616428504,16015
2616428504,12529
1252946481,11162
2418539009,16236
2801132819,12453
2131660582,7566
2876117415,3917
1655306390,5255
2439254997,15494
1692727176,15037
1348963674,7588
1686649189,15575
1999888577,20327
814356954,14417
2750221570,17263
2376889572,3920
1362979343,12715
2655547621,11870
2667789425,4705
2634043495,17938
1744450347,208
2662885122,1261
2662885122,1685
2662885122,3088
2789486232,19517
2835786881,7103
2211047688,6524
2579375787,17498
944504280,18720
2444915937,3827
2142559879,3261
1445719395,18936
2844007625,16454
1746251884,14792
1437038465,276
1170837564,432
1170837564,6960
1674482720,2122
2569085234,9434
820161881,2479
2590299923,12565
2590299923,8603
2655654505,993
1107893993,12654
1907434239,163
1669906572,10872
1694183726,7303
2640461998,10132
1699714484,18228
2761307748,610
2837488336,4255
2862589247,4844
1359220458,16088
782767207,4613
1516927184,11539
2345313713,7656
1661909185,2655
2879228586,13634
2736639914,5312
2517551611,15663
1590706167,9915
1821157587,10697
1597988350,18592
2771802684,12703
1937271272,6136
1920796400,677
1397305119,11794
1109432154,13078
2651362981,21110
2354801212,8883
2549160702,12747
1820169079,83
719998243,3302
1898481784,3792
2714872632,20276
2412676653,2154
1967114263,18175
2460190888,5289
2259067094,20203
810378659,1262
1638499504,3420
1387732969,5091
1524969478,4513
2746612820,2092
2132552809,7656
2788719482,1828
1203709718,10818
2882991994,10362
1437269097,5395
1138843990,10263
1441949945,8964
2702970149,744
2702970149,9694
2702970149,2359
2702970149,2571
2702970149,3701
2702970149,18279
2696297239,7235
1385734759,2522
1743783595,13814
1196433746,7620
1361242441,8827
1342855550,2895
2051611255,1947
1898462746,18434
1343378874,12867
2110054915,3280
2237859549,7124
2237859549,13004
